advertiser,type,ads,dominant_hook,dominant_format,dominant_indication,dominant_awareness,offer_type,pages_tested,mismatch_rate_pct,break_rate_pct,claim_risk_rate_pct,biggest_deviation,longest_days,sample_ad_ids
Chandler Med Spa PLLC,single_location,2,problem_callout (100%),problem_solution (100%),fine_lines_wrinkles (100%),product_aware (100%),first_treatment_price (100%),2,0,0,0,"[""offer"", ""first_treatment_price"", 100, 92]",11,1636204531544412|1778313673321693
Opal Aesthetics,single_location,2,flat_spec (50%),catalog_generic (50%),unspecified (50%),unaware (50%),no_offer (100%),0,,,0,"[""cta_intent"", ""book_appointment"", 100, 82]",53,1268242741912151|1078434048183156
Wellness Spa,single_location,2,direct_offer (50%),catalog_generic (100%),general_glow (50%),most_aware (50%),event_flash_sale (50%),0,,,0,"[""format"", ""catalog_generic"", 100, 92]",18,1408271037881857|1465857292033959
Ruaa Medical Spa ,single_location,2,bold_claim (50%),offer_promo (100%),pigmentation_sun_damage (50%),product_aware (50%),event_flash_sale (50%),0,,,50,"[""modality"", ""ablative_co2_erbium"", 100, 82]",172,2133381004086847|2277518923011003
EPIK IV Therapy,single_location,2,direct_offer (100%),offer_promo (100%),texture_pores (50%),product_aware (50%),percent_off (100%),0,,,0,"[""offer"", ""percent_off"", 100, 87]",15,2080192879549457|1813660636737313
Freya's Laser & Body Sculpting,single_location,2,direct_offer (50%),offer_promo (100%),texture_pores (50%),product_aware (100%),percent_off (50%),2,0,0,0,"[""format"", ""offer_promo"", 100, 57]",72,1538814157936927|1624057176090314
Embrace Beauty Med Spa,single_location,2,problem_callout (50%),problem_solution (50%),pigmentation_sun_damage (50%),solution_aware (50%),no_offer (50%),0,,,50,"[""driver"", ""transformation"", 100, 70]",3,28611362148496222|1389279533183718
Dream Med Spa & Laser Center,single_location,2,direct_offer (50%),catalog_generic (50%),unspecified (50%),most_aware (50%),event_flash_sale (50%),1,0,0,0,"[""modality"", ""non_ablative_fractional"", 100, 90]",3,1772639286960821|942724968883655
Laser in Denver,single_location,2,flat_spec (100%),offer_promo (100%),general_glow (100%),solution_aware (100%),first_treatment_price (100%),0,,,100,"[""offer"", ""first_treatment_price"", 100, 92]",245,2294689930943838|1175957121354726
Dermagenesis Skin and Body Care,single_location,2,problem_callout (50%),problem_solution (100%),acne_scarring (100%),product_aware (50%),free_consult (50%),0,,,100,"[""indication"", ""acne_scarring"", 100, 95]",315,2766584060377979|2033730230500405
Pler,single_location,2,curiosity_tease (50%),problem_solution (100%),pigmentation_sun_damage (50%),solution_aware (50%),no_offer (100%),0,,,0,"[""format"", ""problem_solution"", 100, 86]",203,1250344617196097|34644487298527854
Oasis Laser Medical Spa,single_location,2,problem_callout (100%),problem_solution (100%),acne_scarring (100%),solution_aware (100%),event_flash_sale (100%),0,,,100,"[""indication"", ""acne_scarring"", 100, 95]",119,1511946277176857|949262791257253
Proctologo En Reynosa,single_location,2,problem_callout (100%),provider_authority (100%),unspecified (100%),solution_aware (100%),no_offer (100%),0,,,0,"[""format"", ""provider_authority"", 100, 95]",95,2072255153504577|876126781591131
Gweike laser,single_location,2,bold_claim (100%),product_announcement (100%),unspecified (100%),product_aware (100%),dollar_off (100%),2,100,0,0,"[""format"", ""product_announcement"", 100, 93]",67,1440415218108729|1858052685631546
Park Ave Cosmetic Center,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),dollar_off (100%),2,0,0,0,"[""offer"", ""dollar_off"", 100, 86]",74,1017863360887644|784368538100003
"713 Wellness , Aesthetics and Medical Center",single_location,2,problem_callout (100%),problem_solution (100%),fine_lines_wrinkles (100%),solution_aware (100%),no_offer (100%),0,,,100,"[""indication"", ""fine_lines_wrinkles"", 100, 89]",208,888800180584659|1643029797350680
Praga Wellness Center,single_location,2,flat_spec (50%),problem_solution (100%),laxity_tightening (50%),solution_aware (100%),no_offer (50%),0,,,0,"[""awareness_stage"", ""solution_aware"", 100, 89]",31,1093519419805953|2755192244882947
Innova Beauty Clinic,single_location,2,flat_spec (50%),problem_solution (50%),laxity_tightening (100%),product_aware (100%),no_offer (100%),0,,,0,"[""cta_intent"", ""message_us"", 100, 88]",310,1510650869971045|925106819935037
The G Spa San Francisco,single_location,2,direct_offer (100%),offer_promo (100%),general_glow (100%),most_aware (100%),dollar_off (100%),0,,,0,"[""indication"", ""general_glow"", 100, 87]",155,1426447346166537|2270391413494530
GlowNar Aesthetics,single_location,2,flat_spec (100%),catalog_generic (100%),general_glow (50%),product_aware (100%),no_offer (50%),2,0,0,100,"[""format"", ""catalog_generic"", 100, 92]",88,1038844542198599|1084419761188816
